[16-07-21_13:47:58.539][[µT]X, Y, Z, Direção]17.204, 17.94, -21.344, 23.956966
[16-07-21_13:47:58.611][[µT]X, Y, Z, Direção]17.204, 17.94, -21.16, 23.956966
[16-07-21_13:47:58.759][[µT]X, Y, Z, Direção]17.112, 18.032001, -23.736, 24.256779
[16-07-21_13:47:58.776][[µT]X, Y, Z, Direção]17.204, 18.216, -21.16, 24.393803
[16-07-21_13:47:58.913][[µT]X, Y, Z, Direção]17.112, 18.032001, -20.976002, 24.256779
[16-07-21_13:47:58.928][[µT]X, Y, Z, Direção]17.112, 18.032001, -20.883999, 24.256779
[16-07-21_13:47:59.043][[µT]X, Y, Z, Direção]17.02, 18.124, -20.792, 24.556503
[16-07-21_13:47:59.058][[µT]X, Y, Z, Direção]17.112, 18.124, -20.792, 24.402348
[16-07-21_13:47:59.170][[µT]X, Y, Z, Direção]16.928001, 18.032001, -20.792, 24.565968
[16-07-21_13:47:59.245][[µT]X, Y, Z, Direção]16.928001, 17.94, -20.792, 24.4197
[16-07-21_13:47:59.390][[µT]X, Y, Z, Direção]16.836, 18.032001, -23.184, 24.721752
[16-07-21_13:47:59.407][[µT]X, Y, Z, Direção]16.836, 18.032001, -20.516, 24.721752
[16-07-21_13:47:59.529][[µT]X, Y, Z, Direção]16.836, 17.848, -20.516, 24.428513
[16-07-21_13:47:59.545][[µT]X, Y, Z, Direção]16.744, 17.848, -20.424002, 24.585197
[16-07-21_13:47:59.662][[µT]X, Y, Z, Direção]16.56, 17.756, -20.516, 24.753326
[16-07-21_13:47:59.729][[µT]X, Y, Z, Direção]16.652, 17.848, -20.608, 24.742687
[16-07-21_13:47:59.806][[µT]X, Y, Z, Direção]16.56, 17.664, -20.424002, 24.60484
[16-07-21_13:47:59.873][[µT]X, Y, Z, Direção]16.652, 17.664, -20.7, 24.446426
[16-07-21_13:48:00.029][[µT]X, Y, Z, Direção]16.468, 17.664, -20.516, 24.764076
[16-07-21_13:48:00.043][[µT]X, Y, Z, Direção]16.468, 17.572, -20.608, 24.614819
[16-07-21_13:48:00.165][[µT]X, Y, Z, Direção]16.376001, 17.480001, -20.516, 24.624908
[16-07-21_13:48:00.181][[µT]X, Y, Z, Direção]16.468, 17.480001, -20.608, 24.46473
[16-07-21_13:48:00.301][[µT]X, Y, Z, Direção]16.376001, 17.480001, -20.516, 24.624908
[16-07-21_13:48:00.314][[µT]X, Y, Z, Direção]16.284, 17.388, -20.7, 24.635105
[16-07-21_13:48:00.433][[µT]X, Y, Z, Direção]16.376001, 17.388, -20.7, 24.474026
[16-07-21_13:48:00.449][[µT]X, Y, Z, Direção]16.284, 17.296, -20.7, 24.483425
[16-07-21_13:48:00.659][[µT]X, Y, Z, Direção]16.284, 17.388, -20.792, 24.635105
[16-07-21_13:48:00.673][[µT]X, Y, Z, Direção]16.192001, 17.296, -20.7, 24.645412
[16-07-21_13:48:00.810][[µT]X, Y, Z, Direção]16.1, 17.204, -20.7, 24.655842
[16-07-21_13:48:00.826][[µT]X, Y, Z, Direção]16.1, 17.388, -20.792, 24.959827
[16-07-21_13:48:00.946][[µT]X, Y, Z, Direção]16.192001, 17.296, -20.883999, 24.645412
[16-07-21_13:48:00.961][[µT]X, Y, Z, Direção]16.192001, 17.296, -20.7, 24.645412
[16-07-21_13:48:01.077][[µT]X, Y, Z, Direção]16.1, 17.296, -20.7, 24.808266
[16-07-21_13:48:01.195][[µT]X, Y, Z, Direção]16.008, 17.204, -20.792, 24.819622
[16-07-21_13:48:01.210][[µT]X, Y, Z, Direção]16.192001, 17.296, -20.792, 24.645412
[16-07-21_13:48:01.323][[µT]X, Y, Z, Direção]16.1, 17.296, -20.792, 24.808266
[16-07-21_13:48:01.339][[µT]X, Y, Z, Direção]16.1, 17.296, -20.792, 24.808266
[16-07-21_13:48:01.463][[µT]X, Y, Z, Direção]16.008, 17.112, -20.883999, 24.666382
[16-07-21_13:48:01.479][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655842
[16-07-21_13:48:01.597][[µT]X, Y, Z, Direção]16.192001, 17.296, -20.7, 24.645412
[16-07-21_13:48:01.726][[µT]X, Y, Z, Direção]16.1, 17.204, -20.7, 24.655842
[16-07-21_13:48:01.739][[µT]X, Y, Z, Direção]16.1, 17.204, -20.792, 24.655842
[16-07-21_13:48:01.864][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:48:01.879][[µT]X, Y, Z, Direção]16.1, 17.204, -20.792, 24.655842
[16-07-21_13:48:02.004][[µT]X, Y, Z, Direção]16.1, 17.296, -20.792, 24.808266
[16-07-21_13:48:02.018][[µT]X, Y, Z, Direção]15.916, 17.112, -20.883999, 24.8311
